"","gene_type","gene_name"
"144323","protein_coding","NR0B2"
"144333","protein_coding","KDF1"
"144474","protein_coding","TRNP1"
"144492","protein_coding","TENT5B"
"144538","protein_coding","SLC9A1"
"144715","protein_coding","WDTC1"
"145374","protein_coding","TMEM222"
"145587","protein_coding","SYTL1"
"146152","protein_coding","MAP3K6"
"146709","protein_coding","FCN3"
"147095","protein_coding","CD164L2"
"147227","protein_coding","GPR3"
"147246","protein_coding","WASF2"
"147598","protein_coding","AHDC1"
"147943","protein_coding","FGR"
"148900","protein_coding","IFI6"
"149006","protein_coding","FAM76A"
"149246","protein_coding","STX12"
"149419","protein_coding","PPP1R8"
"149546","protein_coding","THEMIS2"
"149734","protein_coding","RPA2"
"149952","protein_coding","SMPDL3B"
"150139","protein_coding","XKR8"
"150240","protein_coding","EYA3"
"150996","protein_coding","PTAFR"
"151209","protein_coding","DNAJC8"
"151370","protein_coding","ATP5IF1"
"151461","protein_coding","SESN2"
"151827","protein_coding","MED18"
"151863","protein_coding","PHACTR4"
"152496","protein_coding","RCC1"
"153756","protein_coding","TRNAU1AP"
"154038","protein_coding","TAF12"
"154550","protein_coding","RAB42"
"154596","protein_coding","GMEB1"
"155236","protein_coding","YTHDF2"
"155340","protein_coding","OPRD1"
"155360","protein_coding","EPB41"
"158564","protein_coding","TMEM200B"
"158620","protein_coding","SRSF4"
"158795","protein_coding","MECR"
"159045","protein_coding","PTPRU"
"159751","protein_coding","ENSG00000289710"
"159767","protein_coding","MATN1"
"159833","protein_coding","LAPTM5"
"160156","protein_coding","SDC3"
"160218","protein_coding","PUM1"
"170262","protein_coding","NKAIN1"
"170384","protein_coding","SNRNP40"
"170490","protein_coding","ZCCHC17"
"170888","protein_coding","FABP3"
"171014","protein_coding","SERINC2"
"171589","protein_coding","TINAGL1"
"171908","protein_coding","HCRTR1"
"172057","protein_coding","PEF1"
"172369","protein_coding","COL16A1"
"173257","protein_coding","ADGRB2"
"173834","protein_coding","SPOCD1"
"174152","protein_coding","PTP4A2"
"174334","protein_coding","ENSG00000288678"
"174364","protein_coding","KHDRBS1"
"174607","protein_coding","TMEM39B"
"174854","protein_coding","KPNA6"
